#;NAME;ELONG;ELAT;F0;PEPOCH;BINARY
1081;J1552+5437;202.66;70.71;411.88053142429;56285;*
1082;B1550-54;248.83;-33.79;0.9247724034;57600;*
1083;J1554+18;231.40;37.39;*;*;*
1084;J1554-5209;248.10;-31.08;7.98533519368;55039;*
1085;J1554-5512;249.02;-34.03;0.2925653886;51491.00003;*
1086;J1555+01;236.51;21.04;*;*;*
1087;J1555-0515;237.88;14.77;1.02521002621;54985;*
1088;B1552-23;241.709398;-3.2506;1.877660147286;49899.00;*
1089;J1555-2908;242.87;-8.58;559.44000642613;57800.0;ELL1
1090;B1552-31;243.30;-10.98;1.930092885690;49874.00;*
1091;J1556-5358;249.03;-32.76;1.00534775968;51398.000;*
1092;J1557-4258;246.20;-22.04;3.037788345533;48017.0000;*
1093;J1557-5151;248.54;-30.67;2.45005136360;57359;*
1094;J1558-5419;249.44;-33.03;1.6818728617;51138.000;*
1095;J1558-5756;250.49;-36.54;0.890994259795;53139.00000;*
1096;J1558-67;253.92;-45.85;3.741563;55217;*
1097;J1559-44;246.82;-22.96;0.854781;56657;*
1098;B1556-44;247.11;-23.57;3.890201435169;46800.00;*
1099;B1555-55;249.96;-34.40;1.04464080328;57600;*
1100;J1600-3053;244.347677741;-10.07183776;277.9377069492822;55636;T2
1101;B1557-50;248.84;-29.46;5.191975911315;57600;*
1102;B1556-57;250.75;-36.40;5.14255433375;55377;*
1103;J1600-5916;251.24;-37.77;0.80149644258;53116.00000;*
1104;J1601-50;248.84;-29.10;1.161741;50993.6;*
1105;J1601-5244;249.47;-31.39;0.390723195;51071.000;*
1106;J1601-5335;249.78;-32.21;3.46645281446;55391;*
1107;J1602-4957;248.89;-28.65;1.2195270126;51487.000;*
1108;B1558-50;249.16;-29.67;1.15702413207;57600;*
1109;J1603-1655;242.10;3.73;1.4;*;*
1110;J1603+18;233.85;38.71;1.988072;57022;*
1111;J1603-2531;243.76;-4.71;3.53267858106;57600;*
1112;B1600-27;244.104110;-6.37366;1.284829820773;49911.00;*
1113;J1603-3539;245.96;-14.62;7.04678981942;51650.000;*
1114;J1603-5312;250.01;-31.77;1.19158150623;57693;*
1115;J1603-5657;251.00;-35.43;2.0158156336;49524.430000;*
1116;J1603-7202;256.520289582;-49.963017351;67.3765811248755;55637;T2
1117;J1604-3142;245.31;-10.70;1.131361918741;57177;*
1118;J1604-44;248.04;-23.45;0.719839;55196;*
1119;J1604-4718;248.64;-25.99;1.89585724668;52897.00000;*
1120;B1600-49;249.07;-27.81;3.05419496502;57600;*
1121;J1604-7203;256.63;-49.96;2.92909024976;49529.397040;*
1122;J1605+3249;228.82;52.24;0.145349;53735;*
1123;J1605-5215;250.01;-30.80;0.9865739642;51072.000;*
1124;B1601-52;250.18;-31.48;1.51972586121;57600;*
1125;B1604-00;239.81;19.99;2.3707006046372;46973.00;*
1126;J1607-5140;250.30;-30.13;2.9178100260;51072.000;*
1127;J1607-6449;254.15;-42.93;3.35439493491;55192;*
1128;J1609-1930;243.98;1.47;0.64188261702;53000.0;*
1129;J1609-4616;249.36;-24.79;4.00626652456;52133.00000;*
1130;J1609-5158;250.66;-30.37;0.7816149446;51160.000;*
1131;B1607-13;243.22675;7.5631;0.981939436993;49691.00;*
1132;J1610-17;243.92;3.16;*;*;*
1133;J1610-5006;250.43;-28.51;2.07848849726;51111.000;*
1134;J1610-5303;251.06;-31.41;1.27150751219;51488.000;*
1135;J1611-01;240.99;19.27;0.771087;56657;*
1136;J1611-29;246.16;-7.79;104.2;*;*
1137;J1611-4811;250.04;-26.62;0.7710990598;51686.50000;*
1138;J1611-4949;250.55;-28.20;1.50051485024;51071.000;*
1139;B1607-52;250.98;-30.50;5.47960812333;55390;*
1140;J1611-5847;252.86;-36.95;2.820474141608;53071.00000;*
1141;J1612+2008;236.06;40.46;2.343863635131;54985;*
1142;J1612-2408;245.59;-2.95;1.08244588656;53000.0;*
1143;J1612-49;250.67;-27.79;5.189758750;56657;*
1144;J1612-5022;250.81;-28.72;0.73084300251;57947;*
1145;J1612-5136;251.02;-29.94;2.0690632142;51348.000;*
1146;J1612-55;251.91;-33.39;1.180767;56657;*
1147;J1612-5805;252.76;-36.25;1.62464136971;54893;*
1148;B1609-47;250.28;-25.61;2.61522196138;57600;*
1149;J1613-5211;251.45;-30.45;2.1857836648;51072.000;*
1150;J1613-5234;251.59;-30.81;1.5262035513;51111.000;*
1151;B1612+07;240.02660;28.36601;0.828636733302;49897.00;*
1152;J1614-2230;245.788295264;-1.2568107;317.3789419337929;56323.00;ELL1
1153;J1614-23;245.78;-2.01;29.850746;53370;*
1154;J1614-3846;248.78;-17.26;2.1546787220;55876;*
1155;J1614-3937;248.90;-18.10;2.45523930418;49016.0000;*
1156;B1610-50;251.21;-29.07;4.3160405830;50853.0000;*
1157;J1614-5144;251.53;-29.98;0.6518870223;51111.000;*
1158;J1614-5402;252.10;-32.23;1.74644341015;51482.000;*
1159;B1612-29;247.33805;-8.2567;0.403621636589;48390.00;*
1160;J1615-4958;251.21;-28.22;1.79128805247;57928;*
1161;J1615-5137;251.59;-29.84;5.577867;*;*
1162;J1615-5444;252.30;-32.90;2.77040791319;51482.000;*
1163;B1611-55;252.63;-33.74;1.26338283175;48414.5;*
1164;J1616-5017;251.50;-28.50;2.03506779233;56701;*
1165;J1616-5109;251.70;-29.35;0.8199450771;51161.000;*
1166;J1616-5208;251.91;-30.32;0.9748195411;51072.000;*
1167;J1617-4216;249.99;-20.61;0.291675609358;51500.000;*
1168;J1617-4608;250.81;-24.40;1.76341893386;53129.00000;*
1169;J1617-5055;251.82;-29.09;14.4181871;50829.7;*
1170;J1618-36;249.05;-14.45;173.047894;55065;*
1171;J1618-3921;249.61;-17.69;83.42156146922;51544;T2
1172;J1618-4624;251.10;-24.62;168.59518497136;57637;ELL1
1173;J1618-4723;251.16;-25.60;4.9127283805;51097.000;*
1174;J1619-3345;248.73;-12.16;0.9;*;*
1175;J1619-42;250.27;-20.31;0.977372;51975.6;*
1176;J1620-4927;252.07;-27.55;5.81616320951;55225;*
1177;J1620-5414;253.06;-32.27;0.86478237841;51830.00001;*
1178;J1621-5039;252.40;-28.72;0.92249225300;51072.00001;*
1179;J1621-5243;253.00;-30.73;2.6887203480;51151.000;*
1180;J1622-0315;244.45;18.05;260.0490042423;56769;BT
1181;J1622-3751;250.09;-16.09;1.3671236672;55070;*
1182;J1622-4332;251.27;-21.67;1.09058684516;49100.0000;*
1183;J1622-4347;251.27;-21.92;2.18492568145;52897.00000;*
1184;J1622-4802;252.16;-26.09;3.7725565538;51033.000;*
1185;J1622-4845;252.18;-26.84;1.36037459112;56715;*
1186;J1622-4944;252.48;-27.77;0.93199433590;51072.000;*
1187;J1622-4950;252.52;-27.87;0.2311059204;56563.0;*
1188;J1622-6617;256.61;-43.98;42.33082901464;55253.1;ELL1
1189;J1623-0841;245.58;12.73;1.98801226378;55079;*
1190;B1620-09;245.56;12.26;0.7834253398860;48715.00;*
1191;B1620-26;248.50;-4.87;90.287332005426;48725.0;BT
1192;B1620-42;251.36;-21.05;2.74279572052;57600;*
1193;J1623-4949;252.73;-27.81;1.37791882660;51073.000;*
1194;J1623-5005;252.63;-28.10;11.7547287226;55716;*
1195;J1624-39;250.92;-17.98;337.837838;*;*
1196;J1624-4041;251.02;-18.82;5.95730476591;55716;*
1197;J1624-4411;251.70;-22.26;4.28882534344;53058.00000;*
1198;J1624-4613;252.08;-24.26;1.1477859251;53500.00000;*
1199;J1624-4721;252.41;-25.36;2.2285451070;51683.000;*
1200;J1624+5850;203.92;76.69;1.53421102151;57718;*
1201;J1624+8643;93.79282;69.51940;2.52676461497;56500;*
1202;J1625-0021;244.49;21.01;352.90623328676;57114;ELL1
1203;J1625-4048;251.24;-18.90;0.42457829519;49012.0000;*
1204;J1625-4904;252.82;-27.04;2.1723098208;51073.000;*
1205;J1625-4913;252.85;-27.19;2.8101233690;54895;*
1206;J1626-44;252.23;-22.35;3.243030;51718.6;*
1207;J1626-4537;252.43;-23.60;2.70167221107;51683.000;*
1208;J1626-4807;252.89;-26.07;3.4021915510;51207.000;*
1209;J1626-6621;257.18;-43.96;2.21794520407;55195;*
1210;J1627+1419;242.06;35.54;2.037254332449;48957.5;*
1211;J1627+3219;236.59;53.13;458.715596;*;*
1212;J1627-4706;252.84;-25.04;7.1050074460;53165.00000;*
1213;J1627-4845;253.10;-26.67;1.63310459775;49200.00;*
1214;J1627-49;253.42;-27.78;1.603391;56657;*
1215;J1627-51;253.63;-29.00;2.274361;56657;*
1216;J1627-5547;254.61;-33.59;2.8371674699;51561.000;*
1217;J1627-5936;255.59;-37.32;2.8229931851;55188;*
